"","item_id","pId","cId","sgId"
"12925",52980460,102385,97,35
"12926",53074139,8087,97,35
"12927",53074140,8087,97,35
"12928",53564964,346586,97,35
"12929",53854024,346586,97,35
"12930",51190050,217079,141,85
"12931",51190051,217079,141,85
"12932",51266442,4704,141,35
"12933",51266443,356951,141,35
"12934",51266444,356951,141,35
"12935",51266445,4704,141,35
"12936",51428478,364384,141,85
"12937",51192878,119641,97,35
"12938",51192879,7758,97,35
"12939",51192862,8239,97,35
"12940",51192863,7758,97,35
"12941",51192869,124976,97,35
"12942",51330774,245211,11,35
"12943",51330775,245211,11,35
"12944",51192729,344200,97,35
"12945",51192730,119641,97,35
"12946",51192731,7758,97,35
"12947",51192732,7758,97,35
"12948",51192733,7758,97,35
"12949",51192734,7758,97,35
"12950",51192735,7758,97,35
"12951",51192736,124782,97,35
"12952",51192710,368237,97,35
"12953",51342148,4704,141,35
"12954",51342149,356951,141,35
"12955",51342150,4711,141,35
"12956",51342151,4711,141,35
"12957",51061870,187110,166,35
"12958",51192563,368237,97,35
"12959",51192564,8239,97,35
"12960",51192568,7758,97,35
"12961",51192569,7758,97,35
"12962",51327613,356951,141,35
"12963",51061815,4621,166,35
"12964",51061816,169151,166,35
"12965",51061817,231164,166,35
"12966",51061818,187110,166,35
"12967",51193302,7758,97,35
"12968",51193306,124976,97,35
"12969",51817985,257950,11,35
"12970",51817986,257950,11,35
"12971",51817473,344805,141,85
"12972",51063002,231164,166,35
"12973",51817708,344805,141,85
"12974",51817709,344805,141,85
"12975",52000638,5899,160,35
"12976",52048396,5899,160,35
"12977",51817765,344805,141,85
"12978",52000678,5899,160,35
"12979",52000679,4704,160,35
"12980",52000712,4704,160,35
"12981",52097326,344805,141,85
"12982",52097325,344805,141,85
"12983",52097406,364384,141,85
"12984",52094549,349875,160,85
"12985",52233963,5899,160,35
"12986",52338686,5899,160,35
"12987",52338687,5899,160,35
"12988",52338688,349875,160,85
"12989",52338689,202911,160,49
"12990",52338690,4720,160,35
"12991",52235108,364384,141,85
"12992",52298702,4704,160,35
"12993",52234041,4704,160,35
"12994",52234042,5899,160,35
"12995",52234044,349875,160,85
"12996",52443658,356951,141,35
"12997",52535807,356951,141,35
"12998",52443756,217079,141,85
"12999",52450616,4720,160,35
"13000",52450617,5899,160,35
"13001",52450618,5899,160,35
"13002",52450619,4704,160,35
"13003",52394065,246904,97,88
"13004",52394066,346586,97,35
"13005",52394067,170770,97,49
"13006",52450715,4704,160,35
"13007",52450716,4720,160,35
"13008",52450717,4720,160,35
"13009",52686670,356951,141,35
"13010",52686671,356951,141,35
"13011",52718521,349875,160,85
"13012",52718522,349875,160,85
"13013",52718500,5899,160,35
"13014",52718501,4704,160,35
"13015",52718502,4720,160,35
"13016",52821010,4711,11,35
"13017",52820705,344805,141,85
"13018",52820706,4704,141,35
"13019",52820707,4704,141,35
"13020",52820704,344805,141,85
"13021",52910084,4720,160,35
"13022",52910085,4720,160,35
"13023",52530499,125747,97,35
"13024",52530500,125747,97,35
"13025",52718654,4720,160,35
"13026",52718655,4704,160,35
"13027",52718656,111518,160,35
"13028",52939740,349875,160,85
"13029",52997782,4711,11,35
"13030",52983823,188892,160,49
"13031",52983824,4720,160,35
"13032",52983825,4704,160,35
"13033",53161309,4704,160,35
"13034",53142843,5899,5,35
"13035",52018109,61910,65,35
"13036",52018121,61910,65,35
"13037",51193221,7758,97,35
"13038",51193222,7758,97,35
"13039",51193224,7758,97,35
"13040",51193225,11987,97,35
"13041",51193333,38921,97,35
"13042",51193340,32081,97,35
"13043",51193341,32081,97,35
"13044",51193342,32081,97,35
"13045",51193343,32081,97,35
"13046",51193344,7758,97,35
"13047",51193345,7758,97,35
"13048",51193346,7758,97,35
"13049",51193347,368237,97,35
"13050",51348083,11987,97,35
"13051",51348084,11987,97,35
"13052",51348085,16611,97,35
"13053",51348086,354181,97,88
"13054",51347936,11987,97,35
"13055",51347937,16611,97,35
"13056",51347938,354181,97,88
"13057",51518228,11987,97,35
"13058",51518088,16611,97,35
"13059",51640779,358455,97,35
"13060",51640780,368237,97,35
"13061",51975885,4628,5,35
"13062",51932293,370761,2,35
"13063",51932295,368986,2,35
"13064",51947794,357648,5,35
"13065",51947797,116740,5,35
"13066",51836154,7758,97,35
"13067",51836155,7758,97,35
"13068",51932498,346340,2,35
"13069",51932502,368986,2,35
"13070",52000512,247752,97,35
"13071",52211976,355782,2,49
"13072",51924769,134673,166,35
"13073",52394054,358095,97,88
"13074",52394061,159966,97,35
"13075",52394062,254708,97,35
